../data/transcripts-no-timestamp/ovc2016_25_01_wattenberg_viegas.txt
convent neural net,182.2587663329436
neural net might,182.2587663329436
neural net public,182.2587663329436
transpar neural net,182.2587663329436
neural net small,178.11114663820445
render neural net,178.11114663820445
neural net launch,176.55266982592357
bigger neural net,176.55266982592354
box neural net,176.55266982592354
quickli neural net,176.55266982592354
come neural net,173.71396750010777
neural net learn,171.5981383644076
layer neural net,171.02986810518024
neural net layer,171.02986810518024
talk neural net,170.56258260718286
neural net get,170.56258260718283
neural net one,167.83551099894072
neural net thing,167.83551099894072
talk littl bit,161.4284721133753
complic data set,154.01545367861434
littl bit warm,149.94832860990655
went littl bit,149.94832860990655
archiv data set,145.62086943873686
data set cifar,145.62086943873686
data set sixth,145.62086943873686
fifth data set,145.62086943873686
mistak data set,145.62086943873686
proven data set,145.62086943873686
box littl bit,144.25126824960074
littl bit bigger,144.25126824960074
us littl bit,144.25126824960074
data set great,142.76053602334477
littl bit read,142.50545030926813
littl bit rorschach,142.50545030926813
data set given,141.51186470121627
given data set,141.51186470121627
data set go,140.00205367907694
challeng data set,139.99201747066365
model data set,139.99201747066365
littl bit good,139.3465575900027
littl bit machin,139.3465575900027
littl bit tri,139.3465575900027
make littl bit,139.14794735704754
note data set,139.02253931979598
data set figur,139.02253931979595
data set found,139.02253931979595
start littl bit,138.07708467729626
littl bit go,136.86545093765238
data set two,136.19672460954396
data set let,135.29856883243218
---------

../data/transcripts-no-timestamp/ovc2016_25_02_mcdonald.txt
convolut neural net,157.461426540991
accord neural net,147.10165520402023
job neural net,147.10165520402023
manipul neural net,147.10165520402023
neural net claim,147.10165520402023
neural net stage,147.10165520402023
defin neural net,142.98320594651082
neural net done,142.98320594651082
neural net dumbbel,142.98320594651082
neural net usual,142.98320594651082
moment neural net,141.4539148137617
neural net captur,141.4539148137617
neural net understand,141.4539148137617
recurr neural net,140.47499338299497
neural net look,138.78903567747136
tool neural net,138.73210794120635
neural net lot,138.00720551128643
neural net time,137.71377303166852
right neural net,137.71377303166852
work neural net,137.0117649053131
use neural net,136.64765643326
neural net like,134.91183162067264
talk cell phone,101.59606920690271
cell phone curiou,88.13293661227735
confirm puppi slug,88.13293661227735
puppi slug fake,88.13293661227735
edg spot eye,84.97634698393738
cell phone glass,83.97692365595422
puppi slug origin,82.41005072529391
cell phone talk,81.39352938006552
take eight second,79.59762919672698
know cell phone,79.11057252299423
puppi slug post,79.11057252299423
ten dimension space,78.29786227372638
look puppi slug,76.12962448157732
imag puppi slug,75.60639037603755
ha ha ha,74.09228455857456
fake van gogh,69.49583293443744
high school tu,69.49583293443744
json high school,69.49583293443744
vincent van gogh,69.49583293443744
go terribl wrong,69.34910024408603
natur languag anyth,68.91257597242344
natur languag spent,68.91257597242344
natur languag spg,68.91257597242344
dimension space higher,67.94833372931447
higher dimension space,67.94833372931447
detect edg spot,67.90754475972842
edg spot combin,66.55697001321792
network edg spot,66.55697001321792
---------

../data/transcripts-no-timestamp/ovc2016_25_03_kosaka.txt
intern space station,125.79165357086649
fake tilt shift,100.40759462840114
straightforward width height,85.92871636669528
inform width height,81.77328255084124
height width height,80.20698937110281
width height width,80.20698937110281
space station touch,79.18069463126957
like intern space,75.15095003242722
black white trigger,75.02698693748961
width height know,74.2381617308677
demo tilt shift,73.46242087356332
tilt shift applic,73.46242087356332
space station mention,72.44820800137182
tilt shift effect,72.44820800137182
tilt shift show,71.69537771695495
width height imag,70.69689945723294
talk intern space,70.17450114189732
wrote program languag,70.05119865090373
space station think,69.47489142480798
imag fulli opaqu,68.41519430740797
fulli opaqu howev,66.7299521412707
white trigger event,66.6481303439162
gif fulli opaqu,65.38516818173198
fulli opaqu transpar,64.89148277418758
desk look like,64.5910925728104
look like bigger,64.5910925728104
look like straightforward,64.5910925728104
program languag program,64.34675775388177
somehow make sens,64.10636312321365
singl pixel four,63.42046494705711
knit machin 200,63.36725779329018
realiz knit machin,63.36725779329018
data look like,62.83550133736789
program languag knit,62.59356342204031
three lightbulb illumin,62.45347903664967
googli eye okay,62.114401855523646
needl whole bunch,62.114401855523646
librari main thread,61.506296055283975
languag program languag,61.09349009751413
look like quit,60.52676065038584
valu lower valu,60.46827048072521
someth call toblog,60.366759387848816
explain singl pixel,59.640446855546536
underneath singl pixel,59.640446855546536
lower valu lower,59.42293963611593
program languag make,59.40152900929692
one one pixel,58.915215032518944
context set languag,58.835588133626715
fulli opaqu imag,58.552644459700026
code look like,58.42664936063757
---------

../data/transcripts-no-timestamp/ovc2016_25_04_case.txt
causal loop diagram,183.66533263022745
stock flow model,178.38436474971473
water break two,154.4672035064689
creator water break,149.82063805419162
sure water break,149.82063805419162
water break one,146.641089510958
water break origin,145.6786175603063
four water break,144.1257443394884
water break five,144.1257443394884
water break four,144.1257443394884
use stock flow,144.10020969558434
system water break,142.61551480558265
three water break,140.89637366054956
water break three,140.89637366054956
individu water break,139.6805067631768
flow stock flow,138.9971137854819
one water break,137.7398995797589
research stock flow,132.23589081440582
return stock flow,132.23589081440582
stock flow imagin,132.23589081440582
viciou cycl arm,125.60104421134913
come stock flow,124.8219972549325
model stock flow,121.93650160800985
stock flow also,121.72866443109982
stock flow simul,120.51787078006883
causal loop seiz,112.93020786957366
small busi owner,112.08263857674483
system think commun,109.75800193851632
similar causal loop,108.789725048745
cray cray cray,108.73241704251244
system think help,108.08179626391251
first causal loop,107.23839028953248
talk causal loop,107.23839028953248
viciou cycl larg,106.60314263026089
two causal loop,104.42830809677358
mayb system think,104.28024265389638
appar system think,102.45369130031993
